,filename,predicted_class,probabilities,true_label,trial_type,num_blue,num_yellow,ratio
0,b'images/small/test/column_pairs_mixed_b10_y12_0_401.png',0,[1.0000000e+00 1.8797763e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
1,b'images/small/test/column_pairs_mixed_b10_y12_0_405.png',0,[1.000000e+00 3.602604e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
2,b'images/small/test/column_pairs_mixed_b10_y12_0_407.png',0,[1.000000e+00 5.714037e-11],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
3,b'images/small/test/column_pairs_mixed_b10_y12_0_409.png',0,[1.0000000e+00 3.6301707e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
4,b'images/small/test/column_pairs_mixed_b10_y12_0_411.png',0,[1.00000e+00 2.32996e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
5,b'images/small/test/column_pairs_mixed_b10_y12_0_413.png',0,[1.0000000e+00 7.0345313e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
6,b'images/small/test/column_pairs_mixed_b10_y12_0_415.png',0,[1.0000000e+00 1.0445372e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
7,b'images/small/test/column_pairs_mixed_b10_y12_0_423.png',0,[1.000000e+00 3.897352e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
8,b'images/small/test/column_pairs_mixed_b10_y12_0_425.png',0,[1.000000e+00 4.451799e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
9,b'images/small/test/column_pairs_mixed_b10_y12_0_435.png',0,[1.0000000e+00 5.3811933e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
10,b'images/small/test/column_pairs_mixed_b10_y12_0_443.png',0,[1.0000000e+00 1.7435889e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
11,b'images/small/test/column_pairs_mixed_b10_y12_0_445.png',0,[1.0000000e+00 7.6554385e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
12,b'images/small/test/column_pairs_mixed_b10_y12_0_447.png',0,[1.0000000e+00 3.9069454e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
13,b'images/small/test/column_pairs_mixed_b10_y12_0_451.png',0,[1.0000000e+00 1.3049049e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
14,b'images/small/test/column_pairs_mixed_b10_y12_0_453.png',0,[1.0000000e+00 2.9373917e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
15,b'images/small/test/column_pairs_mixed_b10_y12_0_455.png',0,[1.000000e+00 9.318227e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
16,b'images/small/test/column_pairs_mixed_b10_y12_0_461.png',0,[9.9999988e-01 8.6735156e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
17,b'images/small/test/column_pairs_mixed_b10_y12_0_463.png',0,[1.000000e+00 2.848874e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
18,b'images/small/test/column_pairs_mixed_b10_y12_0_471.png',0,[1.0000000e+00 2.6237621e-11],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
19,b'images/small/test/column_pairs_mixed_b10_y12_0_477.png',0,[1.000000e+00 4.405863e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
20,b'images/small/test/column_pairs_mixed_b10_y12_0_479.png',0,[9.9999893e-01 1.0235909e-06],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
21,b'images/small/test/column_pairs_mixed_b10_y12_0_483.png',0,[9.9999833e-01 1.6444235e-06],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
22,b'images/small/test/column_pairs_mixed_b10_y12_0_487.png',0,[1.000000e+00 2.772473e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
23,b'images/small/test/column_pairs_mixed_b10_y12_0_489.png',0,[9.999999e-01 8.880455e-08],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
24,b'images/small/test/column_pairs_mixed_b10_y12_0_493.png',0,[1.0000000e+00 1.5998751e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
25,b'images/small/test/column_pairs_mixed_b10_y12_0_495.png',0,[1.0000000e+00 1.2461526e-10],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
26,b'images/small/test/column_pairs_mixed_b10_y12_0_499.png',0,[1.000000e+00 3.738009e-09],0,column_pairs_mixed,10,12,"(6.0, 5.0)"
27,b'images/small/test/column_pairs_mixed_b10_y5_0_12.png',1,[5.509152e-20 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
28,b'images/small/test/column_pairs_mixed_b10_y5_0_18.png',1,[1.1141534e-12 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
29,b'images/small/test/column_pairs_mixed_b10_y5_0_20.png',1,[1.1306132e-16 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
30,b'images/small/test/column_pairs_mixed_b10_y5_0_22.png',1,[8.844286e-22 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
31,b'images/small/test/column_pairs_mixed_b10_y5_0_28.png',1,[3.4394133e-17 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
32,b'images/small/test/column_pairs_mixed_b10_y5_0_36.png',1,[1.09306e-16 1.00000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
33,b'images/small/test/column_pairs_mixed_b10_y5_0_38.png',1,[2.175167e-11 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
34,b'images/small/test/column_pairs_mixed_b10_y5_0_42.png',1,[2.6647094e-11 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
35,b'images/small/test/column_pairs_mixed_b10_y5_0_46.png',1,[1.2361915e-13 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
36,b'images/small/test/column_pairs_mixed_b10_y5_0_50.png',1,[4.1280722e-11 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
37,b'images/small/test/column_pairs_mixed_b10_y5_0_52.png',1,[5.06015e-13 1.00000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
38,b'images/small/test/column_pairs_mixed_b10_y5_0_54.png',1,[2.4062622e-15 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
39,b'images/small/test/column_pairs_mixed_b10_y5_0_58.png',1,[4.955315e-21 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
40,b'images/small/test/column_pairs_mixed_b10_y5_0_68.png',1,[8.157622e-16 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
41,b'images/small/test/column_pairs_mixed_b10_y5_0_72.png',1,[4.4511184e-17 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
42,b'images/small/test/column_pairs_mixed_b10_y5_0_76.png',1,[9.5914115e-15 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
43,b'images/small/test/column_pairs_mixed_b10_y5_0_78.png',1,[5.5222085e-16 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
44,b'images/small/test/column_pairs_mixed_b10_y5_0_80.png',1,[2.86007e-15 1.00000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
45,b'images/small/test/column_pairs_mixed_b10_y5_0_88.png',1,[4.9631975e-16 1.0000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
46,b'images/small/test/column_pairs_mixed_b10_y5_0_90.png',1,[4.734125e-10 1.000000e+00],1,column_pairs_mixed,10,5,"(2.0, 1.0)"
47,b'images/small/test/column_pairs_mixed_b10_y8_0_300.png',1,[7.0637647e-09 1.0000000e+00],1,column_pairs_mixed,10,8,"(5.0, 4.0)"
48,b'images/small/test/column_pairs_mixed_b10_y8_0_302.png',1,[8.0139961e-07 9.9999917e-01],1,column_pairs_mixed,10,8,"(5.0, 4.0)"
49,b'images/small/test/column_pairs_mixed_b10_y8_0_304.png',1,[3.7374627e-06 9.9999630e-01],1,column_pairs_mixed,10,8,"(5.0, 4.0)"
50,b'images/small/test/column_pairs_mixed_b10_y8_0_306.png',1,[1.5160543e-07 9.9999988e-01],1,column_pairs_mixed,10,8,"(5.0, 4.0)"
51,b'images/small/test/column_pairs_mixed_b10_y8_0_308.png',1,[4.5755936e-08 1.0000000e+00],1,column_pairs_mixed,10,8,"(5.0, 4.0)"
